stock_name,final_score,sentiment_score,technical_score,frequency_score,bert_score,news_count,date_range,avg_freshness,rating
일라이 릴리,69.89520541640451,77.33649595541448,52.29411764705882,95.65714285714286,41.40943168692509,50,2025-07-16 ~ 2025-07-28,0.51,✅ 호재
버텍스 파마슈티컬스,69.81743120833426,74.75637383099941,52.38295600170866,100.0,41.999948754219005,56,2024-10-07 ~ 2025-07-03,0.46621083377588957,✅ 호재
얼타 뷰티,69.6226702353417,72.21622693857296,61.710486513738346,90.36077705827937,41.50878094135138,47,2025-02-19 ~ 2025-07-28,0.5308443730764084,✅ 호재
넥스트에라 에너지,69.5865581282689,73.81674920450146,53.2732999187212,100.0,40.778684708519705,55,2024-10-31 ~ 2025-07-01,0.5523381967826413,✅ 호재
엔비디아,69.53230257706264,60.22984565880698,71.0,100.0,41.40364313539841,86,2025-07-28 ~ 2025-07-29,0.43023255813953487,✅ 호재
필립 모리스 인터내셔널,68.96713515551171,69.11502653239688,64.18305855599773,89.96765010351966,40.72676955049717,48,2025-02-06 ~ 2025-07-21,0.4441919191919192,✅ 호재
비아트리스,68.82633827560733,78.35376890121644,44.729395912867744,100.0,40.6601194126042,51,2024-02-13 ~ 2025-06-24,0.5270446206651673,✅ 호재
아리스타 네트웍스,68.59921111306802,65.87937932059576,60.99200556134863,98.9698816360014,41.558813892248416,53,2024-07-08 ~ 2025-07-09,0.44494277760593876,✅ 호재
존슨앤드존슨,68.27247821132674,76.32476753997881,52.45054945054946,89.550983436853,40.97209672799778,48,2025-07-11 ~ 2025-07-28,0.3345588235294117,✅ 호재
브로드컴,68.15678945571156,60.754586168418896,71.0,92.10292812777286,41.343693627894304,49,2025-07-22 ~ 2025-07-28,0.380952380952381,✅ 호재
파워,68.0874968997025,70.50563970938073,80.0,59.594547964113175,39.663314231275734,36,2025-07-28 ~ 2025-07-30,0.3055555555555556,✅ 호재
길리어드 사이언스,67.89511369304944,80.74730129217623,60.23946515397082,67.63321346845375,39.97710936296961,38,2025-03-18 ~ 2025-07-29,0.4883260783537793,✅ 호재
블랙스톤,67.03751778197098,53.44645201080387,73.25,98.39727195225917,40.044825871975895,51,2025-07-16 ~ 2025-07-29,0.473604826546003,✅ 호재
포티브,66.91281167736581,82.9650767578638,50.776404655841354,71.2517916865743,42.43501240153032,39,2024-01-16 ~ 2025-06-03,0.3540394790394791,✅ 호재
카니발,66.77753796800859,63.744310258709554,73.65384615384616,74.99924253900924,41.83811510569061,41,2025-07-23 ~ 2025-07-30,0.27177700348432055,✅ 호재
덱스콤,66.61990212043544,75.61859659333453,48.02590308370044,89.08418131359852,41.47856295271798,47,2024-07-28 ~ 2025-07-17,0.3410866690708018,✅ 호재
바이오젠,66.59969186500012,73.09316709596888,45.107692307692304,98.45714285714286,41.38688762876309,50,2025-06-10 ~ 2025-07-29,0.5306122448979592,✅ 호재
인튜이티브 서지컬,66.58104018225187,67.67907836094156,51.282608695652186,100.0,41.246262291795766,52,2025-04-21 ~ 2025-07-25,0.4748987854251011,✅ 호재
골드만 삭스 그룹,66.11219493932064,56.75823807931196,69.70149253731341,91.85013876040703,41.28424194320432,47,2025-07-19 ~ 2025-07-29,0.570212765957447,✅ 호재
린데,65.75283347467301,68.14381847384979,51.14571076754686,95.77639751552795,39.96313351763441,49,2024-11-21 ~ 2025-07-22,0.6138405979675821,✅ 호재
노스롭 그루먼,65.03500562393369,75.02234533780523,58.27421383647798,66.58058188950638,42.27686959966921,38,2025-06-05 ~ 2025-07-29,0.3874269005847953,✅ 호재
홀로직,64.80371972556871,74.16733290195175,48.907506053268776,81.25258799171843,42.14017150463691,42,2024-01-16 ~ 2025-07-01,0.6469298245614035,✅ 호재
도미니언 에너지,64.67484794005433,61.27525755604987,53.60314039408867,99.17447769621684,42.48907260164411,55,2024-10-16 ~ 2025-06-30,0.1148921117792713,✅ 호재
마이크로소프트,64.06238991376141,52.132721159131094,63.5,100.0,41.59301450108975,65,2025-07-28 ~ 2025-07-29,0.3230769230769231,✅ 호재
테슬라,64.03085578652492,57.30024908052063,57.5,98.50931677018633,41.58892800279405,48,2025-07-28 ~ 2025-07-28,1.0,✅ 호재
모간 스탠리,63.98112977493153,53.13698516519299,61.98050139275765,100.0,41.32185291027039,57,2025-06-16 ~ 2025-07-29,0.4394124847001224,✅ 호재
에너지 그룹,63.920476055548896,58.65683735320697,54.5,100.0,41.07741114266113,50,2025-07-30 ~ 2025-07-30,1.0,✅ 호재
크로거,63.89314322172673,79.50121682072728,53.71063829787232,59.594547964113175,40.60555411251482,36,2025-05-14 ~ 2025-07-14,0.3210382513661203,✅ 호재
마이크론 테크놀로지,63.724405160150184,63.629506440047564,59.16257668711657,81.79841897233202,41.64145783529774,44,2025-06-25 ~ 2025-07-28,0.3367768595041322,✅ 호재
어플라이드 머티리얼즈,63.61797028592872,61.5466222151783,50.7332285115304,98.00511508951408,41.783298284954626,51,2025-01-06 ~ 2025-06-25,0.3301038062283737,✅ 호재
엑셀 에너지,63.50279031077137,68.43835779708971,54.988461538461536,77.68115942028984,40.946768463390484,42,2025-03-09 ~ 2025-07-30,0.5194805194805195,✅ 호재
그룹,63.45014056973926,53.24680065931559,60.5,100.0,40.01420306013026,52,2025-07-29 ~ 2025-07-29,1.0,✅ 호재
가트너,63.3605665387154,61.67856637042789,48.39690055962117,100.0,41.70069822657896,52,2025-04-24 ~ 2025-07-15,0.5447936210131332,✅ 호재
아이큐비아 홀딩스,63.35216487149834,86.68356210377327,50.97233409210297,46.07142857142857,41.72754088072425,28,2024-01-04 ~ 2025-02-25,0.4879528366370471,✅ 호재
뉴몬트,63.248557983403046,51.53656105304822,61.565753154574125,100.0,41.642076158115174,51,2024-04-25 ~ 2025-07-12,0.673482937192936,✅ 호재
텍사스 인스트루먼트,63.18339021743407,66.93800024994853,58.252803510482686,74.36801242236024,40.587465798377984,40,2025-04-24 ~ 2025-07-26,0.5513440860215054,✅ 호재
앱티브,63.06878339997562,64.33280864916739,52.96578581363005,86.47481021394064,41.50962153431524,45,2024-10-03 ~ 2025-07-21,0.5490645284459716,✅ 호재
아마존닷컴,62.98364228878278,54.15129532837964,59.87775551102204,96.25714285714287,41.083689326957376,50,2025-07-07 ~ 2025-07-28,0.47523809523809535,✅ 호재
메드트로닉,62.963267022026734,75.12135032684486,50.20887445887445,68.42268715266427,41.675271230935984,38,2025-02-20 ~ 2025-07-17,0.4962406015037594,✅ 호재
허니웰 인터내셔널,62.82181406871308,60.52447750563496,50.84581497797357,96.04433077578858,41.494124179093006,51,2024-12-17 ~ 2025-07-24,0.18291700241740536,✅ 호재
테라다인,62.79770663735315,72.66242448974681,52.876485461441206,68.75944267248614,41.17902668524841,37,2024-03-20 ~ 2025-07-13,0.6680743243243243,✅ 호재
램 리서치,62.7050482361266,56.57419187421516,59.56223175965664,90.175983436853,41.715052711729456,48,2025-05-18 ~ 2025-07-23,0.44128787878787884,✅ 호재
비스트라 에너지,62.64587330127966,61.0231400290623,65.1547381047581,72.53384296862558,41.834272645021926,39,2025-01-27 ~ 2025-06-21,0.442263483642794,✅ 호재
시스코 시스템즈,62.46644546715887,55.01205237856432,55.08546537273929,98.99700943179204,41.36583017552943,54,2024-11-10 ~ 2025-06-16,0.38515120625212373,✅ 호재
